petition_idx	status	begin	end	category	num_agree	title
563	청원종료	2017-08-25	2017-09-01	외교/통일/국방	0	북핵위협이 없어지거나,해소되면 사드 철수 가능합니다.
626	청원종료	2017-08-26	2017-11-24	외교/통일/국방	3	미국 퇴역예정 핵항모 구입
629	청원종료	2017-08-26	2017-09-02	외교/통일/국방	1	문재인대통령님과 문재인정부는 김대중대통령과 김대중정부처럼 완벽하게  되어야합니다
631	청원종료	2017-08-26	2017-09-02	외교/통일/국방	0	미국 DNI 수준 국가정보원 상설 감찰 기구 설치
639	청원종료	2017-08-26	2017-09-10	외교/통일/국방	6	6.25 참전용사
677	청원종료	2017-08-27	2017-09-26	외교/통일/국방	2	독립유공자 3대까지 가족 전부 지원 청원
698	청원종료	2017-08-28	2017-09-04	외교/통일/국방	0	문재인대통령님과 문재인정부는 외교력을 완벽하게 강화해야하고,발휘해야합니다
706	청원종료	2017-08-28	2017-09-04	외교/통일/국방	0	사드 배치 관련 지역 주민 불안 해소 방안 제안
725	청원종료	2017-08-28	2017-11-26	외교/통일/국방	0	성주 사드배치의 절차적 정당성을 지켜주십시오.
760	청원종료	2017-08-28	2017-09-04	외교/통일/국방	0	문재인대통령님과 문재인정부는 북한의 조언을 반드시 잘 듣어야합니다
788	청원종료	2017-08-29	2017-09-28	외교/통일/국방	0	북핵의 근원적인 해결방안
795	청원종료	2017-08-29	2017-09-05	외교/통일/국방	0	한미연합훈련과 북한의 인식와 공포의 인식사이
828	청원종료	2017-08-29	2017-09-05	외교/통일/국방	0	북핵문제 해결안
852	청원종료	2017-08-29	2017-11-27	외교/통일/국방	1	국방비 200% 증원
866	청원종료	2017-08-29	2017-09-05	외교/통일/국방	0	문재인대통령과 문재인정부 러시아가스관 적극적 역할과제
977	청원종료	2017-08-30	2017-09-14	외교/통일/국방	0	국내 온라인 사이트에서 해외접속 IP 및 외국인 ID 구별하여 표시하는 정책을 제안합니다.
992	청원종료	2017-08-30	2017-09-06	외교/통일/국방	0	북한 경유PNG 득과 실은?
995	청원종료	2017-08-30	2017-09-14	외교/통일/국방	4	실망스러운 보훈 정책
1004	청원종료	2017-08-30	2017-09-06	외교/통일/국방	0	문재인대통령님과 문재인정부의 북한문제,한반도 주도권으로 적극적으로 역할해야하는 전략 옵션
1007	청원종료	2017-08-30	2017-09-06	외교/통일/국방	0	문재인대통령님과 문재인정부의 러시아가스관을 적극적으로 역할해야하는 과제 두번째이야기
1024	청원종료	2017-08-30	2017-09-06	외교/통일/국방	3	한국학생들이 너무 불쌍해요
1044	청원종료	2017-08-31	2017-09-15	외교/통일/국방	3	사회복무요원 도와주세요
1135	청원종료	2017-08-31	2017-09-30	외교/통일/국방	1	레이져 요격무기 : 맨해탄 프로젝트처럼 국가전체의 역량을 모아서 추진하라
1137	청원종료	2017-08-31	2017-09-30	외교/통일/국방	4	평양과 가장 가까운 백령도에 사정거리 150km-200Km 대포를 200문 배치하라
1147	청원종료	2017-08-31	2017-11-29	외교/통일/국방	4	월남참전수당 언제 받을수 있나요?
1152	청원종료	2017-08-31	2017-11-29	외교/통일/국방	1	리버랜드자유공화국 국가승인에 관하여
1173	청원종료	2017-08-31	2017-09-15	외교/통일/국방	8	병에게 방탄복 지급합시다
1183	청원종료	2017-08-31	2017-09-07	외교/통일/국방	0	문재인대통령님과 문재인정부는 지금부터 한반도 평화적 해결을 위해 본격적으로 완벽하게 한국 주도적 역할을 해야합니다.
1184	청원종료	2017-08-31	2017-09-30	외교/통일/국방	0	북한이 한번 더 핵실험 진행하면 대한민국이 할 가장 큰 일
1194	청원종료	2017-08-31	2017-09-07	외교/통일/국방	0	남북러 가스관 PNG 어떤 이익을 있을까요?
1217	청원종료	2017-09-01	2017-09-08	외교/통일/국방	0	문재인 대통령님과 문재인정부는 대북정책,남북관계를 완벽하게 대전환해야합니다.
1229	청원종료	2017-09-01	2017-11-30	외교/통일/국방	11	징병군인 남성만 하는 것은 논리 부정하는 것
1243	청원종료	2017-09-01	2017-10-01	외교/통일/국방	0	입대
1244	청원종료	2017-09-01	2017-11-30	외교/통일/국방	10	여성의 징병제 반대 합니다
1273	청원종료	2017-09-01	2017-10-01	외교/통일/국방	4	ROTC
1280	청원종료	2017-09-01	2017-10-31	외교/통일/국방	0	;lkj
1339	청원종료	2017-09-01	2017-09-08	외교/통일/국방	0	러시아 가스관 PNG 양날의 검
1342	청원종료	2017-09-01	2017-11-30	외교/통일/국방	1	만약 평양가셔서 담화를 나누신다면
1356	청원종료	2017-09-01	2017-11-30	외교/통일/국방	14	사회복무요원 기본급 현실화
1362	청원종료	2017-09-01	2017-09-16	외교/통일/국방	2	여성 징병제에 찬성합니다.
1363	청원종료	2017-09-01	2017-09-16	외교/통일/국방	4	여성 징병제에 찬성합니다.
1365	청원종료	2017-09-01	2017-09-08	외교/통일/국방	4	여성의무 군 복무
1367	청원종료	2017-09-01	2017-11-30	외교/통일/국방	5	모병제 전환
1370	청원종료	2017-09-01	2017-11-30	외교/통일/국방	62	여성 징병제를 찬성합니다
1374	청원종료	2017-09-01	2017-10-01	외교/통일/국방	24	여성군대반대합니다
1375	청원종료	2017-09-01	2017-09-08	외교/통일/국방	0	북핵 문제
1386	청원종료	2017-09-01	2017-10-01	외교/통일/국방	12	징병제 폐지해야 한다고 생각합니다!
1387	청원종료	2017-09-01	2017-11-30	외교/통일/국방	0	국가유공자
1390	청원종료	2017-09-01	2017-10-31	외교/통일/국방	1	사드 하루 빨리 설치해야 합니다
1399	청원종료	2017-09-02	2017-10-02	외교/통일/국방	7	징병제는 개혁되어야 합니다.
1402	청원종료	2017-09-02	2017-12-01	외교/통일/국방	1	여성의 국방의 의무에 대한 제안
1408	청원종료	2017-09-02	2017-12-01	외교/통일/국방	6	여성 국방의무 다른 제안
1425	청원종료	2017-09-02	2017-12-01	외교/통일/국방	3	태풍(허리케인) 하비로  고통받고 있는 미국 텍사스에 대한민국 공식으로 수재의연금을 보냅시다
1426	청원종료	2017-09-02	2017-12-01	외교/통일/국방	4	병역의무자의 실질적 독점 대체복무
