petition_idx	status	begin	end	category	num_agree	title
25238	청원종료	2017-11-01	2017-12-01	외교/통일/국방	961	여병제도 폐지 및 전환
171623	청원종료	2018-03-21	2018-04-20	외교/통일/국방	937	‘북한인권’을 남북정상회담 의제에 반드시 포함시켜야 합니다.
278801	청원종료	2018-06-21	2018-07-21	외교/통일/국방	906	외국인 난민 수락 전면 거부 법제정, 난민법 폐지 청원합니다.
305146	청원종료	2018-07-13	2018-08-12	외교/통일/국방	867	육군3사관학교 25기 임관장교  중위 전역자 명예회복 청원~
290924	청원종료	2018-06-30	2018-07-30	외교/통일/국방	859	난민신청자들의 인도적체류 취소시키고 강제출국 시켜주세요
249822	청원종료	2018-05-29	2018-06-28	외교/통일/국방	831	조선일보가 만든 '통일나눔재단' 의 세무조사를 청원합니다.
20661	청원종료	2017-10-11	2017-11-10	외교/통일/국방	822	군 내부고발자의 아들입니다. 6년동안 싸우고 있는 민진식 대령을 응원해주십시오
327439	청원종료	2018-08-02	2018-09-01	외교/통일/국방	794	예멘난민 불인정받아도 소송하면 5년체류 된다던데.... 이건아닙니다!!
422246	청원진행중	2018-10-27	2018-11-26	외교/통일/국방	779	경찰은 허위신고한 당당위에 손해배상 청구하세요.
311567	청원종료	2018-07-19	2018-08-18	외교/통일/국방	748	법무부 장관을 만나 난민인정 시키려는 조희연 교육감은 명백히 직권남용입니다.
287398	청원종료	2018-06-27	2018-07-27	외교/통일/국방	723	대한민국 서울 및 제주도에 예멘 난민수용 적극 반대합니다.
64265	청원종료	2017-12-12	2018-01-11	외교/통일/국방	717	야스쿠니 신사사건의 대한민국 청년을 국내로 들어오게 해주세요
327148	청원종료	2018-08-02	2018-09-01	외교/통일/국방	713	이슬람 대통령인가?대한민국 대통령인가?..
303319	청원종료	2018-07-11	2018-08-10	외교/통일/국방	687	외국인 난민 신청자 인도적 체류 허용하지 말아주세요
93353	청원종료	2018-01-13	2018-02-12	외교/통일/국방	675	그 어떠한 형태의 평창 올림픽 남북 단일팀 구성을 반대합니다.
394921	청원진행중	2018-10-01	2018-10-31	외교/통일/국방	674	평양 남과 북 공동선언에 대한 국민과의 토론
208316	청원종료	2018-04-21	2018-05-21	외교/통일/국방	673	일본 자위대 행사와 천황 생일기념식 한국행사 차단
233536	청원종료	2018-05-15	2018-06-14	외교/통일/국방	667	현충원에 안장된 80년 5.18 광주 계엄군의 묘비에 새겨진 ‘전사’를 '순직'으로 바꿔주십시오.
186863	청원종료	2018-04-06	2018-05-06	외교/통일/국방	665	청해부대 전부대장들을 구제해주십시오 !!!
214365	청원종료	2018-04-28	2018-05-28	외교/통일/국방	662	현 자유한국당의 홍준표 대표의 사퇴 안건으로 인해 국가명예훼손죄 매국노로 고발 합니다.
78712	청원종료	2018-01-03	2018-02-02	외교/통일/국방	659	예비군 훈련비 좀 올려주세요
394537	청원진행중	2018-10-01	2018-10-31	외교/통일/국방	648	전범기가 계양된다는데 이게 진짜 말이 되는 소리입니까?
257900	청원종료	2018-06-01	2018-07-01	외교/통일/국방	631	군병원 못 믿겠습니다. 복무 중 사고 및 군 의료시스템 개혁해야 합니다.
390483	청원종료	2018-09-26	2018-10-26	외교/통일/국방	631	대통령님 제발 용산역 육군호텔 건립을 막아주세요~~
169570	청원종료	2018-03-19	2018-04-18	외교/통일/국방	629	베트남  민간인 학살 정부차원 사과와 반성
143599	청원종료	2018-02-20	2018-03-22	외교/통일/국방	625	루프트한자 항공사의 원래의 "독도"표기를 일부 일본인의 요청에 의한 "다케시마" 로의 정정 사안을 바로고쳐 주세요~!!
46834	청원종료	2017-11-20	2017-12-20	외교/통일/국방	607	초급장교 육성과정 사관학교와 - ROTC 예산 약 15배 차이..
394313	청원종료	2018-09-30	2018-10-30	외교/통일/국방	605	제주 국제관함식에 일본함 입항금지해주세요
262134	청원종료	2018-06-04	2018-07-04	외교/통일/국방	593	정보유출
214614	청원종료	2018-04-29	2018-05-29	외교/통일/국방	586	홍준표"판문점 선언은 김정은이 불러주는대로 받아 적었다" 라는 허위사실 유포와 양국정상 및  대국민 명예 훼손으로 '홍준표'를 형사 처벌 해 주시길 청원합니다
301162	청원종료	2018-07-09	2018-08-08	외교/통일/국방	586	베트남 다낭 총영사관 설립 촉구를 위한 청원서
315193	청원종료	2018-07-22	2018-08-21	외교/통일/국방	575	제주도 불법 난민 신청 철회 부탁합니다.
140172	청원종료	2018-02-15	2018-03-17	외교/통일/국방	560	국방비리 저지른사람들 법정최고형 부탁드려요
